Código de infração;Infração;Responsável;Valor da multa;Órgão Autuador;Artigos do CTB;Pontos;Gravidade
76251;Estacionar nas vagas reservadas as pessoas com deficiencia, sem credencial;Condutor;293.47;Municipal/Rodoviario;181, XX;7.0;Gravissima
76252;Estacionar o veiculo nas vagas reservadas a idosos, sem credencial que comprove tal condicao.;Condutor;293.47;Municipal/Rodoviario;181, XX;7.0;Gravissima
76331;Dirigir veiculo segurando telefone celular;Condutor;293.47;Estadual/Municipal/Rodoviario;252, § unico;7.0;Gravissima
76332;Dirigir veiculo manuseando telefone celular;Condutor;293.47;Estadual/Municipal/Rodoviario;252, § unico;7.0;Gravissima
77491;Dirigir veiculo sem possuir cursos especializados obrigatorios;Condutor;293.47;Estadual/Rodoviario;162, VII;7.0;Gravissima
77492;Dirigir veiculo sem possuir cursos especificos obrigatorios;Condutor;293.47;Estadual/Rodoviario;162, VII;7.0;Gravissima
77571;Em movimento, deixar veiculo de transporte publico coletivo passageiros de manter a porta fechada;Condutor;293.47;Municipal/Rodoviario;250, IV;7.0;Gravissima
77572;Em movimento, deixar o veiculo de escolares de manter a porta fechada;Condutor;293.47;Municipal/Rodoviario;250, IV;7.0;Gravissima
76410;Conduzir veiculo para o qual seja exigida habilitacao nas categorias C, D ou E sem realizar o exame toxicologico previsto no § 2º do art. 148-A deste Codigo, apos 30 (trinta) dias do vencimento do prazo estabelecido.;Condutor;1467.35;Estadual/Rodoviario;165-B;7.0;Gravissima5X
76500;Exercer atividade remunerada na conducao de veiculo e nao comprovar a realizacao de exame toxicologico periodico exigido pelo § 2º do art. 148-A do CTB, por ocasiao da renovacao do documento de habilitacao nas categorias C, D ou E.;Condutor;1467.35;Estadual;165-B, § unico;7.0;Gravissima5X
76700;Parar o veiculo sobre ciclovia ou ciclofaixa;Condutor;195.23;Municipal/Rodoviario;182, XI;5.0;Grave
77301;Evadir-se da cobranca pelo uso de Rodovias e vias urbanas para nao efetuar seu pagamento;Condutor;195.23;Estadual/Municipal/Rodoviario;209-A;5.0;Grave
77302;Deixar de efetuar pagamento, pelo uso de Rodovias e vias urbanas, na forma estabelecida;Condutor;195.23;Estadual/Municipal/Rodoviario;209-A;5.0;Grave
76841;Conduzir motocicleta, motoneta ou ciclomotor com a utilizacao de capacete de seguranca sem viseira ou oculos de protecao ou com viseira ou oculos de protecao em desacordo com a regulamentacao do Contran.;Condutor;130.16;Estadual/Municipal/Rodoviario;244, X;4.0;Media
76842;Conduzir motocicleta, motoneta ou ciclomotor com a utilizacao de capacete de seguranca sem viseira ou oculos de protecao ou com viseira ou oculos de protecao em desacordo com a regulamentacao do Contran.;Condutor;130.16;Estadual/Municipal/Rodoviario;244, X;4.0;Media
77141;Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro com o capacete de seguranca utilizado na forma prevista no inciso X do caput deste artigo.;Condutor;130.16;Estadual/Municipal/Rodoviario;244, XI;4.0;Media
77142;Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro com o capacete de seguranca utilizado na forma prevista no inciso X do caput deste artigo.;Condutor;130.16;Estadual/Municipal/Rodoviario;244, XI;4.0;Media
77220;Quando o veiculo estiver em movimento deixar de manter acesa a luz baixa durante a noite.;Condutor;130.16;Rodoviario;250, I, e;4.0;Media
60685;Circular, o veiculo de transporte de carga, com eixos indevidamente suspensos.;Condutor;195.23;Estadual/Municipal/Rodoviario;209 c/c 17, § 5º da Lei 13.103/2015;5.0;Grave
77731;Entregar veiculo a pessoa sem possuir cursos especializados obrigatorios;Proprietario;293.47;Estadual/Rodoviario;163 c/c 162, VII;7.0;Gravissima
77732;Entregar veiculo a pessoa sem possuir cursos especificos obrigatorios.;Proprietario;293.47;Estadual/Rodoviario;163 c/c 162, VII;7.0;Gravissima
77811;Permitir posse e conducao do veiculo por pessoa sem possuir cursos especializados obrigatorios;Proprietario;293.47;Estadual/Rodoviario;164 c/c 162, VII;7.0;Gravissima
77812;Permitir posse e conducao do veiculo por pessoa sem possuir cursos especificos obrigatorios;Proprietario;293.47;Estadual/Rodoviario;164 c/c 162, VII;7.0;Gravissima
77650;Fugir o condutor a acao policial;Condutor;293.47;Estadual/Municipal/Rodoviario;278, § unico c/c 210;7.0;Gravissima
